# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=opensearch.aws.m.upbound.io/v1beta1
kind <string> enum=Domain
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# DomainSpec defines the desired state of Domain
spec.initProvider.clusterConfig.zoneAwarenessConfig.availabilityZoneCount <number>	# Number of Availability Zones for the domain to use with zone_awareness_enabled. Defaults to 2. Valid values: 2 or 3.
spec.initProvider.clusterConfig.zoneAwarenessEnabled <boolean>	# Whether zone awareness is enabled, set to true for multi-az deployment. To enable awareness with three Availability Zones, the availability_zone_count within the zone_awareness_config must be set to 3.
spec.initProvider.cognitoOptions <object>	# Configuration block for authenticating dashboard with Cognito. Detailed below.
spec.initProvider.cognitoOptions.enabled <boolean>	# Whether Amazon Cognito authentication with Dashboard is enabled or not. Default is false.
spec.initProvider.cognitoOptions.identityPoolId <string>	# ID of the Cognito Identity Pool to use.
spec.initProvider.cognitoOptions.roleArn <string>	# ARN of the IAM role that has the AmazonOpenSearchServiceCognitoAccess policy attached.
spec.initProvider.cognitoOptions.userPoolId <string>	# ID of the Cognito User Pool to use.
spec.initProvider.domainEndpointOptions <object>	# Configuration block for domain endpoint HTTP(S) related options. Detailed below.
spec.initProvider.domainEndpointOptions.customEndpoint <string>	# Fully qualified domain for your custom endpoint.
spec.initProvider.domainEndpointOptions.customEndpointCertificateArn <string>	# ACM certificate ARN for your custom endpoint.
spec.initProvider.domainEndpointOptions.customEndpointEnabled <boolean>	# Whether to enable custom endpoint for the OpenSearch domain.
spec.initProvider.domainEndpointOptions.enforceHttps <boolean>	# Whether or not to require HTTPS. Defaults to true.
spec.initProvider.domainEndpointOptions.tlsSecurityPolicy <string>	# Name of the TLS security policy that needs to be applied to the HTTPS endpoint. For valid values, refer to the AWS documentation.
spec.initProvider.domainName <string>	# Name of the domain.
spec.initProvider.ebsOptions <object>	# Configuration block for EBS related options, may be required based on chosen instance size. Detailed below.
spec.initProvider.ebsOptions.ebsEnabled <boolean>	# Whether EBS volumes are attached to data nodes in the domain.
spec.initProvider.ebsOptions.iops <number>	# Baseline input/output (I/O) performance of EBS volumes attached to data nodes. Applicable only for the GP3 and Provisioned IOPS EBS volume types.
spec.initProvider.ebsOptions.throughput <number>	# Specifies the throughput (in MiB/s) of the EBS volumes attached to data nodes. Applicable only for the gp3 volume type.
spec.initProvider.ebsOptions.volumeSize <number>	# Size of EBS volumes attached to data nodes (in GiB).
spec.initProvider.ebsOptions.volumeType <string>	# Type of EBS volumes attached to data nodes.
spec.initProvider.encryptAtRest <object>	# Configuration block for encrypt at rest options. Only available for certain instance types. Detailed below.
spec.initProvider.encryptAtRest.enabled <boolean>	# Whether to enable encryption at rest. If the encrypt_at_rest block is not provided then this defaults to false. Enabling encryption on new domains requires an engine_version of OpenSearch_X.Y or Elasticsearch_5.1 or greater.
spec.initProvider.encryptAtRest.kmsKeyId <string>	# KMS key ARN to encrypt the Elasticsearch domain with. If not specified then it defaults to using the aws/es service KMS key. Note that KMS will accept a KMS key ID but will return the key ARN.
spec.initProvider.encryptAtRest.kmsKeyIdRef <object>	# Reference to a Key in kms to populate kmsKeyId.
spec.initProvider.encryptAtRest.kmsKeyIdRef.name <string> (required)	# Name of the referenced object.
spec.initProvider.encryptAtRest.kmsKeyIdRef.namespace <string>	# Namespace of the referenced object
spec.initProvider.encryptAtRest.kmsKeyIdRef.policy <object>	# Policies for referencing.
spec.initProvider.encryptAtRest.kmsKeyIdRef.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.encryptAtRest.kmsKeyIdRef.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.encryptAtRest.kmsKeyIdSelector <object>	# Selector for a Key in kms to populate kmsKeyId.
spec.initProvider.encryptAtRest.kmsKeyIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.initProvider.encryptAtRest.kmsKeyIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.initProvider.encryptAtRest.kmsKeyIdSelector.namespace <string>	# Namespace for the selector
spec.initProvider.encryptAtRest.kmsKeyIdSelector.policy <object>	# Policies for selection.
spec.initProvider.encryptAtRest.kmsKeyIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.encryptAtRest.kmsKeyIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.engineVersion <string>	# while Elasticsearch has elasticsearch_version
spec.initProvider.identityCenterOptions <object>	# Configuration block for enabling and managing IAM Identity Center integration within a domain. Detailed below.
spec.initProvider.identityCenterOptions.enabledApiAccess <boolean>	# is set to true.
spec.initProvider.identityCenterOptions.identityCenterInstanceArn <string>	# ARN of the domain.
spec.initProvider.identityCenterOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
spec.initProvider.identityCenterOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
spec.initProvider.ipAddressType <string>	# The IP address type for the endpoint. Valid values are ipv4 and dualstack.
spec.initProvider.logPublishingOptions <[]object>	# Configuration block for publishing slow and application logs to CloudWatch Logs. This block can be declared multiple times, for each log_type, within the same resource. Detailed below.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArn <string>	# ARN of the Cloudwatch log group to which log needs to be published.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef <object>	# Reference to a Group in cloudwatchlogs to populate cloudwatchLogGroupArn.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.name <string> (required)	# Name of the referenced object.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.namespace <string>	# Namespace of the referenced object
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy <object>	# Policies for referencing.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector <object>	# Selector for a Group in cloudwatchlogs to populate cloudwatchLogGroupArn.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.namespace <string>	# Namespace for the selector
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy <object>	# Policies for selection.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.logPublishingOptions[].enabled <boolean>	# Whether given log publishing option is enabled or not.
spec.initProvider.logPublishingOptions[].logType <string>	# Type of OpenSearch log. Valid values: INDEX_SLOW_LOGS, SEARCH_SLOW_LOGS, ES_APPLICATION_LOGS, AUDIT_LOGS.
spec.initProvider.nodeToNodeEncryption <object>	# Configuration block for node-to-node encryption options. Detailed below.
spec.initProvider.nodeToNodeEncryption.enabled <boolean>	# Whether to enable node-to-node encryption. If the node_to_node_encryption block is not provided then this defaults to false. Enabling node-to-node encryption of a new domain requires an engine_version of OpenSearch_X.Y or Elasticsearch_6.0 or greater.
spec.initProvider.offPeakWindowOptions <object>	# Configuration to add Off Peak update options. (documentation). Detailed below.
spec.initProvider.offPeakWindowOptions.enabled <boolean>	# Enabled disabled toggle for off-peak update window.
spec.initProvider.offPeakWindowOptions.offPeakWindow <object>
spec.initProvider.offPeakWindowOptions.offPeakWindow.windowStartTime <object>	# 10h window for updates
spec.initProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.hours <number>	# Starting hour of the 10-hour window for updates
spec.initProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.minutes <number>	# Starting minute of the 10-hour window for updates
spec.initProvider.snapshotOptions <object>	# Configuration block for snapshot related options. Detailed below. DEPRECATED. For domains running OpenSearch 5.3 and later, Amazon OpenSearch takes hourly automated snapshots, making this setting irrelevant. For domains running earlier versions, OpenSearch takes daily automated snapshots.
spec.initProvider.snapshotOptions.automatedSnapshotStartHour <number>	# Hour during which the service takes an automated daily snapshot of the indices in the domain.
spec.initProvider.softwareUpdateOptions <object>	# Software update options for the domain. Detailed below.
spec.initProvider.softwareUpdateOptions.autoSoftwareUpdateEnabled <boolean>	# Whether automatic service software updates are enabled for the domain. Defaults to false.
spec.initProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.initProvider.vpcOptions <object>	# Configuration block for VPC related options. Adding or removing this configuration forces a new resource (documentation). Detailed below.
spec.initProvider.vpcOptions.securityGroupIdRefs <[]object>	# References to SecurityGroup in ec2 to populate securityGroupIds.
spec.initProvider.vpcOptions.securityGroupIdRefs[].name <string> (required)	# Name of the referenced object.
spec.initProvider.vpcOptions.securityGroupIdRefs[].namespace <string>	# Namespace of the referenced object
spec.initProvider.vpcOptions.securityGroupIdRefs[].policy <object>	# Policies for referencing.
spec.initProvider.vpcOptions.securityGroupIdRefs[].policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.vpcOptions.securityGroupIdRefs[].policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.vpcOptions.securityGroupIdSelector <object>	# Selector for a list of SecurityGroup in ec2 to populate securityGroupIds.
spec.initProvider.vpcOptions.securityGroupIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.initProvider.vpcOptions.securityGroupIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.initProvider.vpcOptions.securityGroupIdSelector.namespace <string>	# Namespace for the selector
spec.initProvider.vpcOptions.securityGroupIdSelector.policy <object>	# Policies for selection.
spec.initProvider.vpcOptions.securityGroupIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.vpcOptions.securityGroupIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.vpcOptions.securityGroupIds <[]string>	# List of VPC Security Group IDs to be applied to the OpenSearch domain endpoints. If omitted, the default Security Group for the VPC will be used.
spec.initProvider.vpcOptions.subnetIdRefs <[]object>	# References to Subnet in ec2 to populate subnetIds.
spec.initProvider.vpcOptions.subnetIdRefs[].name <string> (required)	# Name of the referenced object.
spec.initProvider.vpcOptions.subnetIdRefs[].namespace <string>	# Namespace of the referenced object
spec.initProvider.vpcOptions.subnetIdRefs[].policy <object>	# Policies for referencing.
spec.initProvider.vpcOptions.subnetIdRefs[].policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.vpcOptions.subnetIdRefs[].policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.vpcOptions.subnetIdSelector <object>	# Selector for a list of Subnet in ec2 to populate subnetIds.
spec.initProvider.vpcOptions.subnetIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.initProvider.vpcOptions.subnetIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.initProvider.vpcOptions.subnetIdSelector.namespace <string>	# Namespace for the selector
spec.initProvider.vpcOptions.subnetIdSelector.policy <object>	# Policies for selection.
spec.initProvider.vpcOptions.subnetIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.initProvider.vpcOptions.subnetIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.initProvider.vpcOptions.subnetIds <[]string>	# List of VPC Subnet IDs for the OpenSearch domain endpoints to be created in.
spec.managementPolicies <[]string> default=["*"]	# THIS IS A BETA FIELD. It is on by default but can be opted out through a Crossplane feature flag. ManagementPolicies specify the array of actions Crossplane is allowed to take on the managed and external resources. See the design doc for more information: https://github.com/crossplane/crossplane/blob/499895a25d1a1a0ba1604944ef98ac7a1a71f197/design/design-doc-observe-only-resources.md?plain=1#L223 and this one: https://github.com/crossplane/crossplane/blob/444267e84783136daa93568b364a5f01228cacbe/design/one-pager-ignore-changes.md
spec.providerConfigRef <object> default={"kind":"ClusterProviderConfig","name":"default"}	# ProviderConfigReference specifies how the provider that will be used to create, observe, update, and delete this managed resource should be configured.
spec.providerConfigRef.kind <string> (required)	# Kind of the referenced object.
spec.providerConfigRef.name <string> (required)	# Name of the referenced object.
spec.writeConnectionSecretToRef <object>	# WriteConnectionSecretToReference specifies the namespace and name of a Secret to which any connection details for this managed resource should be written. Connection details frequently include the endpoint, username, and password required to connect to the managed resource.
spec.writeConnectionSecretToRef.name <string> (required)	# Name of the secret.
status <object>	# DomainStatus defines the observed state of Domain.
status.atProvider <object>
status.atProvider.accessPolicies <string>	# , are prefaced with es: for both.
status.atProvider.advancedOptions <map[string]string>	# Key-value string pairs to specify advanced configuration options.
status.atProvider.advancedSecurityOptions <object>	# Configuration block for fine-grained access control. Detailed below.
status.atProvider.advancedSecurityOptions.anonymousAuthEnabled <boolean>	# Whether Anonymous auth is enabled. Enables fine-grained access control on an existing domain. Ignored unless advanced_security_options are enabled. Can only be enabled on an existing domain.
status.atProvider.advancedSecurityOptions.enabled <boolean>	# Whether advanced security is enabled.
status.atProvider.advancedSecurityOptions.internalUserDatabaseEnabled <boolean>	# Whether the internal user database is enabled. Default is false.
status.atProvider.advancedSecurityOptions.jwtOptions <object>	# Configuration block for JWT authentication. Requires OpenSearch 2.11 or later. Detailed below.
status.atProvider.advancedSecurityOptions.jwtOptions.enabled <boolean>	# Whether JWT authentication is enabled.
status.atProvider.advancedSecurityOptions.jwtOptions.publicKey <string>	# PEM-encoded public key used to verify JWT signatures.
status.atProvider.advancedSecurityOptions.jwtOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
status.atProvider.advancedSecurityOptions.jwtOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
status.atProvider.advancedSecurityOptions.masterUserOptions <object>	# Configuration block for the main user. Detailed below.
status.atProvider.advancedSecurityOptions.masterUserOptions.masterUserArn <string>	# ARN for the main user. Only specify if internal_user_database_enabled is not set or set to false.
status.atProvider.advancedSecurityOptions.masterUserOptions.masterUserName <string>	# Main user's username, which is stored in the Amazon OpenSearch Service domain's internal database. Only specify if internal_user_database_enabled is set to true.
status.atProvider.aimlOptions <object>	# Configuration block for parameters required to enable all machine learning features. Detailed below.
status.atProvider.aimlOptions.naturalLanguageQueryGenerationOptions <object>	# Configuration block for parameters required for natural language query generation on the specified domain.
status.atProvider.aimlOptions.naturalLanguageQueryGenerationOptions.desiredState <string>	# The desired state of the natural language query generation feature. Valid values are ENABLED and DISABLED.
status.atProvider.aimlOptions.s3VectorsEngine <object>	# Configuration block for parameters required to enable S3 vectors engine features on the specified domain.
status.atProvider.aimlOptions.s3VectorsEngine.enabled <boolean>	# Enables S3 vectors engine features.
status.atProvider.aimlOptions.serverlessVectorAcceleration <object>	# Configuration block for parameters required to enable GPU-accelerated vector search on the specified domain.
status.atProvider.aimlOptions.serverlessVectorAcceleration.enabled <boolean>	# Enables GPU-accelerated vector search for improved performance on vector workloads.
status.atProvider.arn <string>	# ARN of the domain.
status.atProvider.autoTuneOptions <object>	# Configuration block for the Auto-Tune options of the domain. Detailed below.
status.atProvider.autoTuneOptions.desiredState <string>	# Auto-Tune desired state for the domain. Valid values: ENABLED or DISABLED.
status.atProvider.autoTuneOptions.maintenanceSchedule <[]object>	# Configuration block for Auto-Tune maintenance windows. Can be specified multiple times for each maintenance window. Detailed below.
status.atProvider.autoTuneOptions.maintenanceSchedule[].cronExpressionForRecurrence <string>	# A cron expression specifying the recurrence pattern for an Auto-Tune maintenance schedule.
status.atProvider.autoTuneOptions.maintenanceSchedule[].duration <object>	# Configuration block for the duration of the Auto-Tune maintenance window. Detailed below.
status.atProvider.autoTuneOptions.maintenanceSchedule[].duration.unit <string>	# Unit of time specifying the duration of an Auto-Tune maintenance window. Valid values: HOURS.
status.atProvider.autoTuneOptions.maintenanceSchedule[].duration.value <number>	# An integer specifying the value of the duration of an Auto-Tune maintenance window.
status.atProvider.autoTuneOptions.maintenanceSchedule[].startAt <string>	# Date and time at which to start the Auto-Tune maintenance schedule in RFC3339 format.
status.atProvider.autoTuneOptions.rollbackOnDisable <string>	# Whether to roll back to default Auto-Tune settings when disabling Auto-Tune. Valid values: DEFAULT_ROLLBACK or NO_ROLLBACK.
status.atProvider.autoTuneOptions.useOffPeakWindow <boolean>	# Whether to schedule Auto-Tune optimizations that require blue/green deployments during the domain's configured daily off-peak window. Defaults to false.
status.atProvider.clusterConfig <object>	# Configuration block for the cluster of the domain. Detailed below.
status.atProvider.clusterConfig.coldStorageOptions <object>	# Configuration block containing cold storage configuration. Detailed below.
status.atProvider.clusterConfig.coldStorageOptions.enabled <boolean>	# Boolean to enable cold storage for an OpenSearch domain. Defaults to false. Master and ultrawarm nodes must be enabled for cold storage.
status.atProvider.clusterConfig.dedicatedMasterCount <number>	# Number of dedicated main nodes in the cluster.
status.atProvider.clusterConfig.dedicatedMasterEnabled <boolean>	# Whether dedicated main nodes are enabled for the cluster.
status.atProvider.clusterConfig.dedicatedMasterType <string>	# Instance type of the dedicated main nodes in the cluster.
status.atProvider.clusterConfig.instanceCount <number>	# Number of instances in the cluster.
status.atProvider.clusterConfig.instanceType <string>	# Instance type of data nodes in the cluster.
status.atProvider.clusterConfig.multiAzWithStandbyEnabled <boolean>	# Whether a multi-AZ domain is turned on with a standby AZ. For more information, see Configuring a multi-AZ domain in Amazon OpenSearch Service.
status.atProvider.clusterConfig.nodeOptions <[]object>	# List of node options for the domain.
status.atProvider.clusterConfig.nodeOptions[].nodeConfig <object>	# Container to specify sizing of a node type.
status.atProvider.clusterConfig.nodeOptions[].nodeConfig.count <number>	# Number of nodes of a particular node type in the cluster.
status.atProvider.clusterConfig.nodeOptions[].nodeConfig.enabled <boolean>	# Whether a particular node type is enabled.
status.atProvider.clusterConfig.nodeOptions[].nodeConfig.type <string>	# The instance type of a particular node type in the cluster.
status.atProvider.clusterConfig.nodeOptions[].nodeType <string>	# Type of node this configuration describes. Valid values: coordinator.
status.atProvider.clusterConfig.warmCount <number>	# Number of warm nodes in the cluster. Valid values are between 2 and 150. warm_count can be only and must be set when warm_enabled is set to true.
status.atProvider.clusterConfig.warmEnabled <boolean>	# Whether to enable warm storage.
status.atProvider.clusterConfig.warmType <string>	# Instance type for the OpenSearch cluster's warm nodes. Valid values are ultrawarm1.medium.search, ultrawarm1.large.search and ultrawarm1.xlarge.search. warm_type can be only and must be set when warm_enabled is set to true.
status.atProvider.clusterConfig.zoneAwarenessConfig <object>	# Configuration block containing zone awareness settings. Detailed below.
status.atProvider.clusterConfig.zoneAwarenessConfig.availabilityZoneCount <number>	# Number of Availability Zones for the domain to use with zone_awareness_enabled. Defaults to 2. Valid values: 2 or 3.
status.atProvider.clusterConfig.zoneAwarenessEnabled <boolean>	# Whether zone awareness is enabled, set to true for multi-az deployment. To enable awareness with three Availability Zones, the availability_zone_count within the zone_awareness_config must be set to 3.
status.atProvider.cognitoOptions <object>	# Configuration block for authenticating dashboard with Cognito. Detailed below.
status.atProvider.cognitoOptions.enabled <boolean>	# Whether Amazon Cognito authentication with Dashboard is enabled or not. Default is false.
status.atProvider.cognitoOptions.identityPoolId <string>	# ID of the Cognito Identity Pool to use.
status.atProvider.cognitoOptions.roleArn <string>	# ARN of the IAM role that has the AmazonOpenSearchServiceCognitoAccess policy attached.
status.atProvider.cognitoOptions.userPoolId <string>	# ID of the Cognito User Pool to use.
status.atProvider.dashboardEndpoint <string>	# Domain-specific endpoint for Dashboard without https scheme.
status.atProvider.dashboardEndpointV2 <string>	# V2 domain endpoint for Dashboard that works with both IPv4 and IPv6 addresses, without https scheme.
status.atProvider.domainEndpointOptions <object>	# Configuration block for domain endpoint HTTP(S) related options. Detailed below.
status.atProvider.domainEndpointOptions.customEndpoint <string>	# Fully qualified domain for your custom endpoint.
status.atProvider.domainEndpointOptions.customEndpointCertificateArn <string>	# ACM certificate ARN for your custom endpoint.
status.atProvider.domainEndpointOptions.customEndpointEnabled <boolean>	# Whether to enable custom endpoint for the OpenSearch domain.
status.atProvider.domainEndpointOptions.enforceHttps <boolean>	# Whether or not to require HTTPS. Defaults to true.
status.atProvider.domainEndpointOptions.tlsSecurityPolicy <string>	# Name of the TLS security policy that needs to be applied to the HTTPS endpoint. For valid values, refer to the AWS documentation.
status.atProvider.domainEndpointV2HostedZoneId <string>	# Dual stack hosted zone ID for the domain.
status.atProvider.domainId <string>	# Unique identifier for the domain.
status.atProvider.domainName <string>	# Name of the domain.
status.atProvider.ebsOptions <object>	# Configuration block for EBS related options, may be required based on chosen instance size. Detailed below.
status.atProvider.ebsOptions.ebsEnabled <boolean>	# Whether EBS volumes are attached to data nodes in the domain.
status.atProvider.ebsOptions.iops <number>	# Baseline input/output (I/O) performance of EBS volumes attached to data nodes. Applicable only for the GP3 and Provisioned IOPS EBS volume types.
status.atProvider.ebsOptions.throughput <number>	# Specifies the throughput (in MiB/s) of the EBS volumes attached to data nodes. Applicable only for the gp3 volume type.
status.atProvider.ebsOptions.volumeSize <number>	# Size of EBS volumes attached to data nodes (in GiB).
status.atProvider.ebsOptions.volumeType <string>	# Type of EBS volumes attached to data nodes.
status.atProvider.encryptAtRest <object>	# Configuration block for encrypt at rest options. Only available for certain instance types. Detailed below.
status.atProvider.encryptAtRest.enabled <boolean>	# Whether to enable encryption at rest. If the encrypt_at_rest block is not provided then this defaults to false. Enabling encryption on new domains requires an engine_version of OpenSearch_X.Y or Elasticsearch_5.1 or greater.
status.atProvider.encryptAtRest.kmsKeyId <string>	# KMS key ARN to encrypt the Elasticsearch domain with. If not specified then it defaults to using the aws/es service KMS key. Note that KMS will accept a KMS key ID but will return the key ARN.
status.atProvider.endpoint <string>	# Domain-specific endpoint used to submit index, search, and data upload requests.
status.atProvider.endpointV2 <string>	# V2 domain endpoint that works with both IPv4 and IPv6 addresses, used to submit index, search, and data upload requests.
status.atProvider.engineVersion <string>	# while Elasticsearch has elasticsearch_version
status.atProvider.id <string>
status.atProvider.identityCenterOptions <object>	# Configuration block for enabling and managing IAM Identity Center integration within a domain. Detailed below.
status.atProvider.identityCenterOptions.enabledApiAccess <boolean>	# is set to true.
status.atProvider.identityCenterOptions.identityCenterInstanceArn <string>	# ARN of the domain.
status.atProvider.identityCenterOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
status.atProvider.identityCenterOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
status.atProvider.ipAddressType <string>	# The IP address type for the endpoint. Valid values are ipv4 and dualstack.
status.atProvider.logPublishingOptions <[]object>	# Configuration block for publishing slow and application logs to CloudWatch Logs. This block can be declared multiple times, for each log_type, within the same resource. Detailed below.
status.atProvider.logPublishingOptions[].cloudwatchLogGroupArn <string>	# ARN of the Cloudwatch log group to which log needs to be published.
status.atProvider.logPublishingOptions[].enabled <boolean>	# Whether given log publishing option is enabled or not.
status.atProvider.logPublishingOptions[].logType <string>	# Type of OpenSearch log. Valid values: INDEX_SLOW_LOGS, SEARCH_SLOW_LOGS, ES_APPLICATION_LOGS, AUDIT_LOGS.
status.atProvider.nodeToNodeEncryption <object>	# Configuration block for node-to-node encryption options. Detailed below.
status.atProvider.nodeToNodeEncryption.enabled <boolean>	# Whether to enable node-to-node encryption. If the node_to_node_encryption block is not provided then this defaults to false. Enabling node-to-node encryption of a new domain requires an engine_version of OpenSearch_X.Y or Elasticsearch_6.0 or greater.
status.atProvider.offPeakWindowOptions <object>	# Configuration to add Off Peak update options. (documentation). Detailed below.
status.atProvider.offPeakWindowOptions.enabled <boolean>	# Enabled disabled toggle for off-peak update window.
status.atProvider.offPeakWindowOptions.offPeakWindow <object>
status.atProvider.offPeakWindowOptions.offPeakWindow.windowStartTime <object>	# 10h window for updates
status.atProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.hours <number>	# Starting hour of the 10-hour window for updates
status.atProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.minutes <number>	# Starting minute of the 10-hour window for updates
status.atProvider.region <string>	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
status.atProvider.snapshotOptions <object>	# Configuration block for snapshot related options. Detailed below. DEPRECATED. For domains running OpenSearch 5.3 and later, Amazon OpenSearch takes hourly automated snapshots, making this setting irrelevant. For domains running earlier versions, OpenSearch takes daily automated snapshots.
status.atProvider.snapshotOptions.automatedSnapshotStartHour <number>	# Hour during which the service takes an automated daily snapshot of the indices in the domain.
status.atProvider.softwareUpdateOptions <object>	# Software update options for the domain. Detailed below.
status.atProvider.softwareUpdateOptions.autoSoftwareUpdateEnabled <boolean>	# Whether automatic service software updates are enabled for the domain. Defaults to false.
status.atProvider.tags <map[string]string>	# Key-value map of resource tags.
status.atProvider.tagsAll <map[string]string>	# Map of tags assigned to the resource, including those inherited from the provider default_tags configuration block.
status.atProvider.vpcOptions <object>	# Configuration block for VPC related options. Adding or removing this configuration forces a new resource (documentation). Detailed below.
status.atProvider.vpcOptions.availabilityZones <[]string>	# If the domain was created inside a VPC, the names of the availability zones the configured subnet_ids were created inside.
